"ref","adv","loc","covid","goaltime","cens","ref_pos","ref_pts","ref_gd","ref_gf","ref_ga","adv_pos","adv_pts","adv_gd","adv_gf","adv_ga","ref_ability","adv_ability"
"West Ham","Man City","Home","Pre",90,0,10,52,-3,52,55,1,98,72,95,23,"Not Top 6","Top 6"
"Burnley","Southampton","Home","Pre",63,1,15,40,-23,45,68,16,39,-20,45,65,"Not Top 6","Not Top 6"
"Crystal Palace","Everton","Home","Pre",90,0,12,49,-2,51,53,8,54,8,54,46,"Not Top 6","Not Top 6"
"Watford","Brighton","Home","Pre",90,0,11,50,-7,52,59,17,36,-25,35,60,"Not Top 6","Not Top 6"
"Leicester","Wolves","Home","Pre",90,0,9,52,3,51,48,7,57,1,47,46,"Not Top 6","Not Top 6"
"Newcastle","Arsenal","Home","Pre",90,0,13,45,-6,42,48,5,70,22,73,51,"Not Top 6","Top 6"
"Man United","Chelsea","Home","Pre",18,1,6,66,11,65,54,3,72,24,63,39,"Top 6","Top 6"
"Arsenal","Burnley","Home","Pre",13,1,5,70,22,73,51,15,40,-23,45,68,"Top 6","Not Top 6"
"Brighton","West Ham","Home","Pre",65,1,17,36,-25,35,60,10,52,-3,52,55,"Not Top 6","Not Top 6"
"Everton","Watford","Home","Pre",10,1,8,54,8,54,46,11,50,-7,52,59,"Not Top 6","Not Top 6"
"Southampton","Liverpool","Home","Pre",83,1,16,39,-20,45,65,2,97,67,89,22,"Not Top 6","Top 6"
"Man City","Tottenham","Home","Pre",20,1,1,98,72,95,23,4,71,28,67,39,"Top 6","Top 6"
"Chelsea","Leicester","Home","Pre",7,1,3,72,24,63,39,9,52,3,51,48,"Top 6","Not Top 6"
"Wolves","Man United","Home","Pre",55,1,7,57,1,47,46,6,66,11,65,54,"Not Top 6","Top 6"
"Brighton","Southampton","Home","Pre",90,0,17,36,-25,35,60,16,39,-20,45,65,"Not Top 6","Not Top 6"
"Man United","Crystal Palace","Home","Pre",89,1,6,66,11,65,54,12,49,-2,51,53,"Top 6","Not Top 6"
"Watford","West Ham","Home","Pre",17,1,11,50,-7,52,59,10,52,-3,52,55,"Not Top 6","Not Top 6"
"Liverpool","Arsenal","Home","Pre",41,1,2,97,67,89,22,5,70,22,73,51,"Top 6","Top 6"
"Bournemouth","Man City","Home","Pre",45,1,14,45,-14,56,70,1,98,72,95,23,"Not Top 6","Top 6"
"Tottenham","Newcastle","Home","Pre",90,0,4,71,28,67,39,13,45,-6,42,48,"Top 6","Not Top 6"
"Wolves","Burnley","Home","Pre",90,1,7,57,1,47,46,15,40,-23,45,68,"Not Top 6","Not Top 6"
"Southampton","Man United","Home","Pre",58,1,16,39,-20,45,65,6,66,11,65,54,"Not Top 6","Top 6"
"Leicester","Bournemouth","Home","Pre",12,1,9,52,3,51,48,14,45,-14,56,70,"Not Top 6","Not Top 6"
"Man City","Brighton","Home","Pre",2,1,1,98,72,95,23,17,36,-25,35,60,"Top 6","Not Top 6"
"Newcastle","Watford","Home","Pre",41,1,13,45,-6,42,48,11,50,-7,52,59,"Not Top 6","Not Top 6"
"Burnley","Liverpool","Home","Pre",90,0,15,40,-23,45,68,2,97,67,89,22,"Not Top 6","Top 6"
"Everton","Wolves","Home","Pre",5,1,8,54,8,54,46,7,57,1,47,46,"Not Top 6","Not Top 6"
"Arsenal","Tottenham","Home","Pre",45,1,5,70,22,73,51,4,71,28,67,39,"Top 6","Top 6"
"Liverpool","Newcastle","Home","Pre",28,1,2,97,67,89,22,13,45,-6,42,48,"Top 6","Not Top 6"
"Brighton","Burnley","Home","Pre",51,1,17,36,-25,35,60,15,40,-23,45,68,"Not Top 6","Not Top 6"
"Man United","Leicester","Home","Pre",8,1,6,66,11,65,54,9,52,3,51,48,"Top 6","Not Top 6"
"Tottenham","Crystal Palace","Home","Pre",10,1,4,71,28,67,39,12,49,-2,51,53,"Top 6","Not Top 6"
"Wolves","Chelsea","Home","Pre",69,1,7,57,1,47,46,3,72,24,63,39,"Not Top 6","Top 6"
"Bournemouth","Everton","Home","Pre",23,1,14,45,-14,56,70,8,54,8,54,46,"Not Top 6","Not Top 6"
"Watford","Arsenal","Home","Pre",53,1,11,50,-7,52,59,5,70,22,73,51,"Not Top 6","Top 6"
"Southampton","Bournemouth","Home","Pre",53,1,16,39,-20,45,65,14,45,-14,56,70,"Not Top 6","Not Top 6"
"Leicester","Tottenham","Home","Pre",69,1,9,52,3,51,48,4,71,28,67,39,"Not Top 6","Top 6"
"Man City","Watford","Home","Pre",1,1,1,98,72,95,23,11,50,-7,52,59,"Top 6","Not Top 6"
"Newcastle","Brighton","Home","Pre",90,0,13,45,-6,42,48,17,36,-25,35,60,"Not Top 6","Not Top 6"
"Crystal Palace","Wolves","Home","Pre",46,1,12,49,-2,51,53,7,57,1,47,46,"Not Top 6","Not Top 6"
"West Ham","Man United","Home","Pre",44,1,10,52,-3,52,55,6,66,11,65,54,"Not Top 6","Top 6"
"Chelsea","Liverpool","Home","Pre",71,1,3,72,24,63,39,2,97,67,89,22,"Top 6","Top 6"
"Bournemouth","West Ham","Home","Pre",17,1,14,45,-14,56,70,10,52,-3,52,55,"Not Top 6","Not Top 6"
"Chelsea","Brighton","Home","Pre",50,1,3,72,24,63,39,17,36,-25,35,60,"Top 6","Not Top 6"
"Tottenham","Southampton","Home","Pre",24,1,4,71,28,67,39,16,39,-20,45,65,"Top 6","Not Top 6"
"Wolves","Watford","Home","Pre",18,1,7,57,1,47,46,11,50,-7,52,59,"Not Top 6","Not Top 6"
"Everton","Man City","Home","Pre",33,1,8,54,8,54,46,1,98,72,95,23,"Not Top 6","Top 6"
"Leicester","Newcastle","Home","Pre",16,1,9,52,3,51,48,13,45,-6,42,48,"Not Top 6","Not Top 6"
"Man United","Arsenal","Home","Pre",45,1,6,66,11,65,54,5,70,22,73,51,"Top 6","Top 6"
"Brighton","Tottenham","Home","Pre",3,1,17,36,-25,35,60,4,71,28,67,39,"Not Top 6","Top 6"
"Burnley","Everton","Home","Pre",72,1,15,40,-23,45,68,8,54,8,54,46,"Not Top 6","Not Top 6"
"Liverpool","Leicester","Home","Pre",40,1,2,97,67,89,22,9,52,3,51,48,"Top 6","Not Top 6"
"West Ham","Crystal Palace","Home","Pre",54,1,10,52,-3,52,55,12,49,-2,51,53,"Not Top 6","Not Top 6"
"Arsenal","Bournemouth","Home","Pre",9,1,5,70,22,73,51,14,45,-14,56,70,"Top 6","Not Top 6"
"Man City","Wolves","Home","Pre",90,0,1,98,72,95,23,7,57,1,47,46,"Top 6","Not Top 6"
"Southampton","Chelsea","Home","Pre",30,1,16,39,-20,45,65,3,72,24,63,39,"Not Top 6","Top 6"
"Newcastle","Man United","Home","Pre",72,1,13,45,-6,42,48,6,66,11,65,54,"Not Top 6","Top 6"
"Everton","West Ham","Home","Pre",17,1,8,54,8,54,46,10,52,-3,52,55,"Not Top 6","Not Top 6"
"Chelsea","Newcastle","Home","Pre",73,1,3,72,24,63,39,13,45,-6,42,48,"Top 6","Not Top 6"
"Leicester","Burnley","Home","Pre",45,1,9,52,3,51,48,15,40,-23,45,68,"Not Top 6","Not Top 6"
"Tottenham","Watford","Home","Pre",86,1,4,71,28,67,39,11,50,-7,52,59,"Top 6","Not Top 6"
"Wolves","Southampton","Home","Pre",61,1,7,57,1,47,46,16,39,-20,45,65,"Not Top 6","Not Top 6"
"Crystal Palace","Man City","Home","Pre",90,0,12,49,-2,51,53,1,98,72,95,23,"Not Top 6","Top 6"
"Man United","Liverpool","Home","Pre",36,1,6,66,11,65,54,2,97,67,89,22,"Top 6","Top 6"
"Southampton","Leicester","Home","Pre",90,0,16,39,-20,45,65,9,52,3,51,48,"Not Top 6","Not Top 6"
"Brighton","Everton","Home","Pre",15,1,17,36,-25,35,60,8,54,8,54,46,"Not Top 6","Not Top 6"
"Watford","Bournemouth","Home","Pre",90,0,11,50,-7,52,59,14,45,-14,56,70,"Not Top 6","Not Top 6"
"Burnley","Chelsea","Home","Pre",86,1,15,40,-23,45,68,3,72,24,63,39,"Not Top 6","Top 6"
"Newcastle","Wolves","Home","Pre",37,1,13,45,-6,42,48,7,57,1,47,46,"Not Top 6","Not Top 6"
"Arsenal","Crystal Palace","Home","Pre",7,1,5,70,22,73,51,12,49,-2,51,53,"Top 6","Not Top 6"
"Liverpool","Tottenham","Home","Pre",52,1,2,97,67,89,22,4,71,28,67,39,"Top 6","Top 6"
"Bournemouth","Man United","Home","Pre",45,1,14,45,-14,56,70,6,66,11,65,54,"Not Top 6","Top 6"
"Arsenal","Wolves","Home","Pre",21,1,5,70,22,73,51,7,57,1,47,46,"Top 6","Not Top 6"
"Man City","Southampton","Home","Pre",70,1,1,98,72,95,23,16,39,-20,45,65,"Top 6","Not Top 6"
"West Ham","Newcastle","Home","Pre",73,1,10,52,-3,52,55,13,45,-6,42,48,"Not Top 6","Not Top 6"
"Watford","Chelsea","Home","Pre",80,1,11,50,-7,52,59,3,72,24,63,39,"Not Top 6","Top 6"
"Crystal Palace","Leicester","Home","Pre",90,0,12,49,-2,51,53,9,52,3,51,48,"Not Top 6","Not Top 6"
"Everton","Tottenham","Home","Pre",90,1,8,54,8,54,46,4,71,28,67,39,"Not Top 6","Top 6"
"Chelsea","Crystal Palace","Home","Pre",52,1,3,72,24,63,39,12,49,-2,51,53,"Top 6","Not Top 6"
"Burnley","West Ham","Home","Pre",11,1,15,40,-23,45,68,10,52,-3,52,55,"Not Top 6","Not Top 6"
"Newcastle","Bournemouth","Home","Pre",42,1,13,45,-6,42,48,14,45,-14,56,70,"Not Top 6","Not Top 6"
"Southampton","Everton","Home","Pre",50,1,16,39,-20,45,65,8,54,8,54,46,"Not Top 6","Not Top 6"
"Leicester","Arsenal","Home","Pre",68,1,9,52,3,51,48,5,70,22,73,51,"Not Top 6","Top 6"
"Man United","Brighton","Home","Pre",17,1,6,66,11,65,54,17,36,-25,35,60,"Top 6","Not Top 6"
"Liverpool","Man City","Home","Pre",6,1,2,97,67,89,22,1,98,72,95,23,"Top 6","Top 6"
"West Ham","Tottenham","Home","Pre",73,1,10,52,-3,52,55,4,71,28,67,39,"Not Top 6","Top 6"
"Arsenal","Southampton","Home","Pre",18,1,5,70,22,73,51,16,39,-20,45,65,"Top 6","Not Top 6"
"Bournemouth","Wolves","Home","Pre",59,1,14,45,-14,56,70,7,57,1,47,46,"Not Top 6","Not Top 6"
"Brighton","Leicester","Home","Pre",90,0,17,36,-25,35,60,9,52,3,51,48,"Not Top 6","Not Top 6"
"Crystal Palace","Liverpool","Home","Pre",82,1,12,49,-2,51,53,2,97,67,89,22,"Not Top 6","Top 6"
"Watford","Burnley","Home","Pre",90,0,11,50,-7,52,59,15,40,-23,45,68,"Not Top 6","Not Top 6"
"Man City","Chelsea","Home","Pre",29,1,1,98,72,95,23,3,72,24,63,39,"Top 6","Top 6"
"Newcastle","Man City","Home","Pre",25,1,13,45,-6,42,48,1,98,72,95,23,"Not Top 6","Top 6"
"Burnley","Crystal Palace","Home","Pre",90,0,15,40,-23,45,68,12,49,-2,51,53,"Not Top 6","Not Top 6"
"Chelsea","West Ham","Home","Pre",90,0,3,72,24,63,39,10,52,-3,52,55,"Top 6","Not Top 6"
"Liverpool","Brighton","Home","Pre",18,1,2,97,67,89,22,17,36,-25,35,60,"Top 6","Not Top 6"
"Tottenham","Bournemouth","Home","Pre",21,1,4,71,28,67,39,14,45,-14,56,70,"Top 6","Not Top 6"
"Southampton","Watford","Home","Pre",78,1,16,39,-20,45,65,11,50,-7,52,59,"Not Top 6","Not Top 6"
"Leicester","Everton","Home","Pre",68,1,9,52,3,51,48,8,54,8,54,46,"Not Top 6","Not Top 6"
"Crystal Palace","Bournemouth","Home","Pre",76,1,12,49,-2,51,53,14,45,-14,56,70,"Not Top 6","Not Top 6"
"Burnley","Man City","Home","Pre",89,1,15,40,-23,45,68,1,98,72,95,23,"Not Top 6","Top 6"
"Leicester","Watford","Home","Pre",55,1,9,52,3,51,48,11,50,-7,52,59,"Not Top 6","Not Top 6"
"Man United","Tottenham","Home","Pre",6,1,6,66,11,65,54,4,71,28,67,39,"Top 6","Top 6"
"Wolves","West Ham","Home","Pre",23,1,7,57,1,47,46,10,52,-3,52,55,"Not Top 6","Not Top 6"
"Liverpool","Everton","Home","Pre",6,1,2,97,67,89,22,8,54,8,54,46,"Top 6","Not Top 6"
"Arsenal","Brighton","Home","Pre",50,1,5,70,22,73,51,17,36,-25,35,60,"Top 6","Not Top 6"
"Everton","Chelsea","Home","Pre",5,1,8,54,8,54,46,3,72,24,63,39,"Not Top 6","Top 6"
"Bournemouth","Liverpool","Home","Pre",90,0,14,45,-14,56,70,2,97,67,89,22,"Not Top 6","Top 6"
"Tottenham","Burnley","Home","Pre",5,1,4,71,28,67,39,15,40,-23,45,68,"Top 6","Not Top 6"
"Watford","Crystal Palace","Home","Pre",90,0,11,50,-7,52,59,12,49,-2,51,53,"Not Top 6","Not Top 6"
"Man City","Man United","Home","Pre",85,1,1,98,72,95,23,6,66,11,65,54,"Top 6","Top 6"
"Newcastle","Southampton","Home","Pre",68,1,13,45,-6,42,48,16,39,-20,45,65,"Not Top 6","Not Top 6"
"Brighton","Wolves","Home","Pre",34,1,17,36,-25,35,60,7,57,1,47,46,"Not Top 6","Not Top 6"
"West Ham","Arsenal","Home","Pre",38,1,10,52,-3,52,55,5,70,22,73,51,"Not Top 6","Top 6"
"Liverpool","Watford","Home","Pre",38,1,2,97,67,89,22,11,50,-7,52,59,"Top 6","Not Top 6"
"Burnley","Newcastle","Home","Pre",58,1,15,40,-23,45,68,13,45,-6,42,48,"Not Top 6","Not Top 6"
"Chelsea","Bournemouth","Home","Pre",90,0,3,72,24,63,39,14,45,-14,56,70,"Top 6","Not Top 6"
"Southampton","West Ham","Home","Pre",90,0,16,39,-20,45,65,10,52,-3,52,55,"Not Top 6","Not Top 6"
"Man United","Everton","Home","Pre",77,1,6,66,11,65,54,8,54,8,54,46,"Top 6","Not Top 6"
"Wolves","Tottenham","Home","Pre",67,1,7,57,1,47,46,4,71,28,67,39,"Not Top 6","Top 6"
"Arsenal","Man City","Home","Pre",90,0,5,70,22,73,51,1,98,72,95,23,"Top 6","Top 6"
"Crystal Palace","Brighton","Home","Pre",76,1,12,49,-2,51,53,17,36,-25,35,60,"Not Top 6","Not Top 6"
"Everton","Arsenal","Home","Pre",90,0,8,54,8,54,46,5,70,22,73,51,"Not Top 6","Top 6"
"Bournemouth","Burnley","Home","Pre",90,0,14,45,-14,56,70,15,40,-23,45,68,"Not Top 6","Not Top 6"
"Newcastle","Crystal Palace","Home","Pre",83,1,13,45,-6,42,48,12,49,-2,51,53,"Not Top 6","Not Top 6"
"Man City","Leicester","Home","Pre",30,1,1,98,72,95,23,9,52,3,51,48,"Top 6","Not Top 6"
"Watford","Man United","Home","Pre",50,1,11,50,-7,52,59,6,66,11,65,54,"Not Top 6","Top 6"
"Tottenham","Chelsea","Home","Pre",90,0,4,71,28,67,39,3,72,24,63,39,"Top 6","Top 6"
"Tottenham","Brighton","Home","Pre",53,1,4,71,28,67,39,17,36,-25,35,60,"Top 6","Not Top 6"
"Bournemouth","Arsenal","Home","Pre",35,1,14,45,-14,56,70,5,70,22,73,51,"Not Top 6","Top 6"
